"","tanggal","kasus_baru","meninggal","sembuh"
"1",2020-03-02,2,0,0
"2",2020-03-03,0,0,0
"3",2020-03-04,0,0,0
"4",2020-03-05,0,0,0
"5",2020-03-06,2,0,0
"6",2020-03-07,0,0,0
"7",2020-03-08,2,0,0
"8",2020-03-09,13,0,0
"9",2020-03-10,8,0,2
"10",2020-03-11,7,1,0
"11",2020-03-12,0,0,0
"12",2020-03-13,35,3,0
"13",2020-03-14,27,1,6
"14",2020-03-15,21,0,0
"15",2020-03-16,17,0,0
"16",2020-03-17,38,0,1
"17",2020-03-18,55,14,2
"18",2020-03-19,82,6,4
"19",2020-03-20,60,7,2
"20",2020-03-21,81,6,3
"21",2020-03-22,64,10,9
"22",2020-03-23,65,1,1
"23",2020-03-24,106,6,0
"24",2020-03-25,105,3,1
"25",2020-03-26,103,20,4
"26",2020-03-27,153,9,11
"27",2020-03-28,109,15,13
"28",2020-03-29,130,12,5
"29",2020-03-30,129,8,11
"30",2020-03-31,114,14,6
"31",2020-04-01,149,21,22
"32",2020-04-02,113,13,9
"33",2020-04-03,196,11,22
"34",2020-04-04,106,10,16
"35",2020-04-05,181,7,14
"36",2020-04-06,218,11,28
"37",2020-04-07,247,12,12
"38",2020-04-08,218,19,18
"39",2020-04-09,337,40,30
"40",2020-04-10,219,26,30
"41",2020-04-11,330,21,4
"42",2020-04-12,399,46,73
"43",2020-04-13,316,26,21
"44",2020-04-14,282,60,46
"45",2020-04-15,297,10,20
"46",2020-04-16,380,27,102
"47",2020-04-17,407,24,59
"48",2020-04-18,325,15,24
"49",2020-04-19,327,47,55
"50",2020-04-20,185,8,61
"51",2020-04-21,375,26,95
"52",2020-04-22,283,19,71
"53",2020-04-23,357,12,47
"54",2020-04-24,436,42,42
"55",2020-04-25,396,31,40
"56",2020-04-26,275,23,65
"57",2020-04-27,214,22,44
"58",2020-04-28,415,8,103
"59",2020-04-29,260,11,137
"60",2020-04-30,347,8,131
"61",2020-05-01,433,8,69
"62",2020-05-02,292,31,74
"63",2020-05-03,349,14,211
"64",2020-05-04,395,19,78
"65",2020-05-05,484,8,243
"66",2020-05-06,367,23,120
"67",2020-05-07,338,35,64
"68",2020-05-08,336,13,113
"69",2020-05-09,533,16,113
"70",2020-05-10,387,14,91
"71",2020-05-11,233,18,183
"72",2020-05-12,484,16,182
"73",2020-05-13,689,21,224
"74",2020-05-14,568,15,231
"75",2020-05-15,490,33,285
"76",2020-05-16,529,13,108
"77",2020-05-17,489,59,218
"78",2020-05-18,496,43,195
"79",2020-05-19,486,30,143
"80",2020-05-20,693,21,108
"81",2020-05-21,973,36,263
"82",2020-05-22,634,48,219
"83",2020-05-23,949,25,192
"84",2020-05-24,526,21,153
"85",2020-05-25,479,19,240
"86",2020-05-26,415,27,235
"87",2020-05-27,686,55,180
"88",2020-05-28,687,23,183
"89",2020-05-29,678,24,252
"90",2020-05-30,557,53,523
"91",2020-05-31,700,40,293
"92",2020-06-01,467,28,329
"93",2020-06-02,609,22,298
"94",2020-06-03,684,35,471
"95",2020-06-04,585,23,486
"96",2020-06-05,703,49,551
"97",2020-06-06,993,31,464
"98",2020-06-07,672,50,591
"99",2020-06-08,847,32,406
"100",2020-06-09,1042,40,510
"101",2020-06-10,1241,36,715
"102",2020-06-11,979,41,507
"103",2020-06-12,1111,48,577
"104",2020-06-13,1014,43,563
"105",2020-06-14,857,43,755
