"","prov","postal","latitude","longitude","konfirmasi","sembuh","meninggal"
"1","Aceh","AC",4.41533,96.9956,8753,7155,358
"2","Sumatera Utara","SU",2.36304,99.2161,18226,15492,681
"3","Sumatera Barat","SB",-0.642611,100.611,23611,18035,523
"4","Riau","RI",0.396892,101.745,25112,23248,585
"5","Jambi","JA",-1.65497,102.823,3262,2352,55
"6","Sumatera Selatan","SL",-3.3824,104.073,11899,9420,602
"7","Bengkulu","BE",-3.48606,102.368,3671,2657,117
"8","Lampung","LA",-4.919,105.059,6355,4507,277
"9","Bangka-Belitung","BB",-2.95817,106.819,2417,1757,36
"10","Kepulauan Riau","KR",-0.142639,104.601,7009,6081,172
"11","DKI Jakarta","JK",-6.22462,106.837,185204,166386,3270
"12","Jawa Barat","JR",-6.90763,107.638,85074,71986,1170
"13","Jawa Tengah","JT",-7.2901,109.896,82602,54965,3357
"14","Daerah Istimewa Yogyakarta","YO",-7.83533,110.443,12373,8288,269
"15","Jawa Timur","JI",-7.88129,112.616,84990,72926,5899
"16","Banten","BT",-6.25794,106.167,18399,10225,404
"17","Bali","BA",-8.3412,115.179,17685,12470,464
"18","Nusa Tenggara Barat","NB",-8.57106,116.294,5722,3905,260
"19","Nusa Tenggara Timur","NT",-8.58443,120.689,2181,1201,50
"20","Kalimantan Barat","KB",-0.0636474,111.304,3133,2801,25
"21","Kalimantan Tengah","KT",-1.84217,113.286,9831,4758,199
"22","Kalimantan Selatan","KS",-3.00713,115.451,15401,13868,585
"23","Kalimantan Timur","KI",1.28915,116.354,27371,22340,737
"24","Kalimantan Utara","KU",3.073093,116.041389,3829,1984,57
"25","Sulawesi Utara","SW",0.853039,124.446,9722,7004,310
"26","Sulawesi Tengah","ST",-1.30097,120.153,3617,1969,108
"27","Sulawesi Selatan","SE",-3.7444,119.99,31597,25852,598
"28","Sulawesi Tenggara","SG",-4.0746,122.119,7986,6698,147
"29","Gorontalo","GO",0.760501,122.331,3866,3324,104
"30","Sulawesi Barat","SR",-2.69615,119.316,1954,1553,36
"31","Maluku","MA",-8.24814,128.161,5754,4554,71
"32","Maluku Utara","LA",-2.28945,125.976,2773,2353,90
"33","Papua Barat","IB",-1.32525,132.825,5995,5457,99
"34","Papua","PA",-4.10825,138.689,13226,7179,148
